Gx,Gy,Gz,RF
6.29206,0,0,0.753057
6.29206,0,0,0.753057
6.29206,0,0,0.745806
6.29206,0,0,0.745806
6.29206,0,0,0.745806
6.29206,0,0,0.74477
6.29206,0,0,0.74477
6.29206,0,0,0.756164
6.29206,0,0,0.756164
6.29206,0,0,0.756164
6.29206,0,0,0.777917
6.29206,0,0,0.777917
6.29206,0,0,0.813654
6.29206,0,0,0.813654
6.29206,0,0,0.856123
6.29206,0,0,0.856123
6.29206,0,0,0.856123
6.29206,0,0,0.905843
6.29206,0,0,0.905843
6.29206,0,0,0.957118
6.29206,0,0,0.957118
6.29206,0,0,0.957118
6.29206,0,0,1.003731
6.29206,0,0,1.003731
6.29206,0,0,1.04361
6.29206,0,0,1.04361
6.29206,0,0,1.075204
6.29206,0,0,1.075204
6.29206,0,0,1.075204
6.29206,0,0,1.094885
6.29206,0,0,1.094885
6.29206,0,0,1.104207
6.29206,0,0,1.104207
6.29206,0,0,1.104207
6.29206,0,0,1.1011
6.29206,0,0,1.1011
6.29206,0,0,1.091777
6.29206,0,0,1.091777
6.29206,0,0,1.091777
6.29206,0,0,1.076757
6.29206,0,0,1.076757
6.29206,0,0,1.06122
6.29206,0,0,1.06122
6.29206,0,0,1.049825
6.29206,0,0,1.049825
6.29206,0,0,1.049825
6.29206,0,0,1.047236
6.29206,0,0,1.047236
6.29206,0,0,1.055005
6.29206,0,0,1.055005
6.29206,0,0,1.055005
6.29206,0,0,1.075204
6.29206,0,0,1.075204
6.29206,0,0,1.104725
6.29206,0,0,1.104725
6.29206,0,0,1.142015
6.29206,0,0,1.142015
6.29206,0,0,1.142015
6.29206,0,0,1.180341
6.29206,0,0,1.180341
6.29206,0,0,1.214524
6.29206,0,0,1.214524
6.29206,0,0,1.214524
6.29206,0,0,1.244564
6.29206,0,0,1.244564
6.29206,0,0,1.261655
6.29206,0,0,1.261655
6.29206,0,0,1.261655
6.29206,0,0,1.268388
6.29206,0,0,1.268388
6.29206,0,0,1.261655
6.29206,0,0,1.261655
6.29206,0,0,1.245082
6.29206,0,0,1.245082
6.29206,0,0,1.245082
6.29206,0,0,1.218668
6.29206,0,0,1.218668
6.29206,0,0,1.187592
6.29206,0,0,1.187592
6.29206,0,0,1.187592
6.29206,0,0,1.155999
6.29206,0,0,1.155999
6.29206,0,0,1.132175
6.29206,0,0,1.132175
6.29206,0,0,1.132175
6.29206,0,0,1.115083
6.29206,0,0,1.115083
6.29206,0,0,1.114566
6.29206,0,0,1.114566
6.29206,0,0,1.125442
6.29206,0,0,1.125442
6.29206,0,0,1.125442
6.29206,0,0,1.151338
6.29206,0,0,1.151338
6.29206,0,0,1.185003
6.29206,0,0,1.185003
6.29206,0,0,1.185003
6.29206,0,0,1.223329
6.29206,0,0,1.223329
6.29206,0,0,1.260101
6.29206,0,0,1.260101
6.29206,0,0,1.292212
6.29206,0,0,1.292212
6.29206,0,0,1.292212
6.29206,0,0,1.316037
6.29206,0,0,1.316037
6.29206,0,0,1.327949
6.29206,0,0,1.327949
6.29206,0,0,1.327949
6.29206,0,0,1.330021
6.29206,0,0,1.330021
6.29206,0,0,1.32018
6.29206,0,0,1.32018
6.29206,0,0,1.32018
6.29206,0,0,1.302053
6.29206,0,0,1.302053
6.29206,0,0,1.279782
6.29206,0,0,1.279782
6.29206,0,0,1.258548
6.29206,0,0,1.258548
6.29206,0,0,1.258548
6.29206,0,0,1.24301
6.29206,0,0,1.24301
6.29206,0,0,1.241974
6.29206,0,0,1.241974
6.29206,0,0,1.241974
6.29206,0,0,1.254404
6.29206,0,0,1.254404
6.29206,0,0,1.288587
6.29206,0,0,1.288587
6.29206,0,0,1.339343
