jMRUI Data Textfile

Filename: /Users/Georg/Documents/MATLAB/osprey/exampledata/nifti-mrs/derivatives/jMRUIFiles/ses-01_mrs_sub-01_ses-01_SVS-ref.nii_jMRUI_REF.TXT

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 1.666000E-01
ZeroOrderPhase: 0E+00
BeginTime: 0E+00
TransmitterFrequency: 2.972199E+08
MagneticField: 6.980763E+00
TypeOfNucleus: 0E+00
NameOfPatient: No Name
Spectrometer: TrioTim
AdditionalInfo: jnear


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
-0.00047687	0.00149514	0.00079860	0.00165040
-0.00048779	0.00148340	0.00089865	0.00167093
-0.00049552	0.00146263	0.00086892	0.00170161
-0.00050611	0.00145104	0.00082704	0.00170653
-0.00051279	0.00142893	0.00090048	0.00165688
-0.00052279	0.00141678	0.00086152	0.00173006
-0.00052967	0.00139680	0.00084518	0.00167131
-0.00053891	0.00138368	0.00085861	0.00164908
-0.00054507	0.00136329	0.00089871	0.00167988
-0.00055528	0.00135357	0.00083867	0.00177302
-0.00056348	0.00133929	0.00081785	0.00171149
-0.00057064	0.00132305	0.00084258	0.00174271
-0.00057591	0.00130308	0.00089075	0.00167338
-0.00058450	0.00129113	0.00082717	0.00175753
-0.00058971	0.00127222	0.00087221	0.00178613
-0.00059583	0.00125582	0.00085067	0.00170212
-0.00060075	0.00123748	0.00084942	0.00176933
-0.00060882	0.00122606	0.00091897	0.00172254
-0.00061392	0.00120903	0.00088108	0.00170590
-0.00062140	0.00119709	0.00086227	0.00178251
-0.00062427	0.00117675	0.00088839	0.00166840
-0.00063130	0.00116469	0.00087620	0.00174346
-0.00063439	0.00114580	0.00083272	0.00183567
-0.00064062	0.00113300	0.00091654	0.00180245
-0.00064495	0.00111720	0.00082859	0.00172884
-0.00065195	0.00110633	0.00080608	0.00173020
-0.00065444	0.00108818	0.00086981	0.00179202
-0.00066086	0.00107691	0.00087647	0.00177577
-0.00066326	0.00105943	0.00086354	0.00181053
-0.00066703	0.00104456	0.00086628	0.00177146
-0.00066822	0.00102606	0.00086973	0.00175531
-0.00067373	0.00101454	0.00090619	0.00176702
-0.00067797	0.00100137	0.00091441	0.00178626
-0.00068214	0.00098836	0.00081343	0.00180379
-0.00068458	0.00097315	0.00089959	0.00177304
-0.00068765	0.00095915	0.00088058	0.00182204
-0.00068864	0.00094260	0.00088232	0.00176181
-0.00069333	0.00093140	0.00088698	0.00184845
-0.00069460	0.00091587	0.00088283	0.00181417
-0.00069694	0.00090208	0.00084877	0.00187480
-0.00069916	0.00088840	0.00091986	0.00175758
-0.00070128	0.00087486	0.00086506	0.00181384
-0.00070201	0.00085990	0.00091050	0.00177888
-0.00070530	0.00084831	0.00087322	0.00189267
-0.00070330	0.00083067	0.00089642	0.00182923
-0.00070592	0.00081879	0.00087866	0.00186113
-0.00070544	0.00080357	0.00094405	0.00179780
-0.00070919	0.00079341	0.00091638	0.00184958
-0.00070962	0.00077973	0.00084843	0.00187840
-0.00071203	0.00076845	0.00082643	0.00184479
-0.00071052	0.00075318	0.00089200	0.00179435
-0.00071395	0.00074338	0.00090157	0.00179367
-0.00071140	0.00072757	0.00086580	0.00183192
-0.00071345	0.00071673	0.00090594	0.00185597
-0.00071327	0.00070384	0.00089976	0.00190817
-0.00071295	0.00069103	0.00088624	0.00191296
-0.00071116	0.00067705	0.00095600	0.00191744
-0.00071468	0.00066832	0.00090450	0.00181697
-0.00071341	0.00065526	0.00095508	0.00191390
-0.00071437	0.00064445	0.00098947	0.00194008
-0.00071213	0.00063096	0.00088833	0.00183241
-0.00071227	0.00061979	0.00091519	0.00189015
-0.00071088	0.00060749	0.00102070	0.00199091
-0.00071129	0.00059691	0.00100357	0.00192427
-0.00070941	0.00058459	0.00096081	0.00192935
-0.00070921	0.00057384	0.00095482	0.00191010
-0.00070478	0.00055990	0.00089423	0.00191031
-0.00070583	0.00055050	0.00095900	0.00194677
-0.00070379	0.00053885	0.00092810	0.00194444
-0.00070208	0.00052764	0.00091761	0.00203197
-0.00069907	0.00051565	0.00090974	0.00195944
-0.00069942	0.00050631	0.00093088	0.00191110
-0.00069694	0.00049506	0.00096134	0.00199112
-0.00069613	0.00048517	0.00095864	0.00193432
-0.00069410	0.00047459	0.00092664	0.00193596
-0.00069331	0.00046500	0.00095512	0.00197649
-0.00068796	0.00045253	0.00093093	0.00201861
-0.00068836	0.00044402	0.00094800	0.00195616
-0.00068393	0.00043255	0.00095170	0.00196063
-0.00068359	0.00042381	0.00098694	0.00204765
-0.00067991	0.00041315	0.00093596	0.00204247
-0.00067903	0.00040434	0.00098954	0.00194153
-0.00067532	0.00039399	0.00100913	0.00196861
-0.00067137	0.00038367	0.00099588	0.00192459
