jMRUI Data Textfile

Filename: /Users/Georg/Documents/MATLAB/osprey/exampledata/nifti-mrs/derivatives/jMRUIFiles/ses-01_mrs_sub-01_ses-01_SVS.nii_jMRUI_A.TXT

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 1.666000E-01
ZeroOrderPhase: 0E+00
BeginTime: 0E+00
TransmitterFrequency: 2.972199E+08
MagneticField: 6.980763E+00
TypeOfNucleus: 0E+00
NameOfPatient: No Name
Spectrometer: TrioTim
AdditionalInfo: jnear


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
0.00000020	0.00000044	0.00001079	0.00003052
0.00000086	-0.00000004	0.00001619	0.00002934
0.00000035	-0.00000059	0.00001379	0.00001705
-0.00000025	-0.00000082	0.00001285	0.00002847
-0.00000084	-0.00000102	0.00000503	0.00001443
-0.00000143	-0.00000022	0.00000570	0.00002274
-0.00000128	0.00000059	0.00001332	0.00001851
-0.00000060	0.00000099	0.00000921	0.00003532
0.00000000	0.00000073	0.00000648	0.00001588
0.00000025	0.00000039	0.00001075	0.00002100
0.00000053	-0.00000039	0.00000871	0.00002425
-0.00000016	-0.00000026	0.00000433	0.00001394
-0.00000052	-0.00000012	0.00001675	0.00001899
-0.00000066	0.00000062	0.00000000	0.00001207
-0.00000006	0.00000102	0.00000138	0.00003155
0.00000097	0.00000106	0.00002138	0.00002245
0.00000138	0.00000046	0.00001079	0.00002262
0.00000136	-0.00000039	0.00002236	0.00001269
0.00000068	-0.00000121	0.00000913	0.00003490
-0.00000034	-0.00000126	0.00001522	0.00002875
-0.00000127	-0.00000079	0.00001515	0.00002389
-0.00000116	0.00000008	-0.00000178	0.00001631
-0.00000055	0.00000070	0.00000873	0.00002554
-0.00000022	0.00000087	0.00000873	0.00002260
0.00000023	0.00000060	0.00000819	0.00002940
0.00000067	-0.00000000	0.00002410	0.00001768
0.00000023	-0.00000024	0.00000636	0.00003214
0.00000040	-0.00000018	0.00001565	0.00003068
0.00000002	-0.00000051	0.00001008	0.00002063
0.00000036	-0.00000047	0.00001964	0.00002910
0.00000048	-0.00000038	0.00000587	0.00001925
0.00000032	-0.00000080	0.00001391	0.00002485
-0.00000016	-0.00000113	0.00002032	0.00002699
-0.00000104	-0.00000136	0.00000845	0.00002024
-0.00000185	-0.00000070	0.00001183	0.00003506
-0.00000189	0.00000017	0.00001452	0.00003182
