jMRUI Data Textfile

Filename: /Users/Georg/Documents/MATLAB/osprey/exampledata/sdat/UnEdited/derivatives/jMRUIFiles/mrs_sub-01_ses-01_press-ref_sub-01_PRESS_35_ref_jMRUI_REF.TXT

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.000000E-01
ZeroOrderPhase: 0E+00
BeginTime: 0E+00
TransmitterFrequency: 1.277509E+08
MagneticField: 3.000467E+00
TypeOfNucleus: 0E+00
NameOfPatient: No Name
DateOfExperiment: 
Spectrometer: TrioTim
AdditionalInfo: jnear


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
0.64049730	-0.06233953	0.51830688	3.97015389
0.63135120	-0.06169377	0.52135066	4.02526810
0.62098159	-0.06092090	0.53343471	3.99202666
0.61194183	-0.06027101	0.51831063	4.01318224
0.60333390	-0.05965683	0.53549327	4.02507222
0.59469175	-0.05903261	0.53175208	4.07348605
0.58602560	-0.05839932	0.51361097	4.10145455
0.57693191	-0.05771656	0.55464898	4.09416090
0.56779388	-0.05702232	0.55612678	4.08996369
0.55814752	-0.05626977	0.53971356	4.12005710
0.55050209	-0.05571226	0.55879321	4.14950955
0.54331644	-0.05519556	0.56636160	4.13617999
0.53570193	-0.05462956	0.55106780	4.15317779
0.52732778	-0.05397993	0.55859984	4.13647664
0.51896249	-0.05332473	0.54174612	4.18389228
0.51157353	-0.05276376	0.56920851	4.19083740
0.50294639	-0.05206889	0.54221373	4.23495510
0.49636773	-0.05158022	0.52304846	4.24265248
0.48927026	-0.05103235	0.52228640	4.22979126
0.48089908	-0.05034565	0.50326165	4.30341574
0.47293905	-0.04969567	0.53159585	4.34169517
0.46676868	-0.04922829	0.52112543	4.31233457
0.45973179	-0.04866441	0.54690034	4.34609425
0.45287211	-0.04811391	0.55668464	4.35049335
0.44635404	-0.04759453	0.52241314	4.36883080
0.43968160	-0.04705359	0.53628077	4.40186036
0.43246231	-0.04644876	0.55625913	4.43196716
0.42530331	-0.04584483	0.55203477	4.45205339
0.41901044	-0.04532907	0.54925920	4.47169624
0.41345545	-0.04488854	0.54024435	4.45688125
0.40641912	-0.04428232	0.52987204	4.51750395
0.40127498	-0.04387754	0.52781388	4.54843078
0.39402071	-0.04323724	0.55816873	4.53650251
0.38862246	-0.04279571	0.58000787	4.53550950
0.38220560	-0.04223743	0.56964111	4.59812000
0.37752980	-0.04186727	0.59102541	4.60738272
0.37227048	-0.04142854	0.59642772	4.59590895
0.36553676	-0.04082110	0.59576102	4.60573666
0.35908708	-0.04024027	0.56651830	4.63212045
0.35317146	-0.03971449	0.61792960	4.65966286
0.34874297	-0.03935194	0.62363070	4.66206756
0.34216890	-0.03874302	0.58006166	4.70043949
0.33821863	-0.03842712	0.61022189	4.69094970
0.33162181	-0.03780644	0.62759175	4.70130155
0.32719539	-0.03742892	0.60987210	4.75549526
0.32216418	-0.03697855	0.62258800	4.74474881
0.31699027	-0.03650785	0.60923621	4.75463762
0.31151599	-0.03599843	0.60930797	4.77726586
0.30665173	-0.03555550	0.64610079	4.80089483
0.30180059	-0.03511032	0.60545183	4.83577631
0.29670702	-0.03463309	0.61952051	4.83244244
0.29236443	-0.03423985	0.65517103	4.84387267
0.28825363	-0.03387049	0.64902722	4.85472403
0.28386128	-0.03346474	0.63151326	4.85369223
0.27952693	-0.03306245	0.63932566	4.86673237
0.27429315	-0.03255007	0.62115599	4.89190469
0.27189103	-0.03237075	0.60669281	4.92511737
0.26743710	-0.03194450	0.66666343	4.91004803
0.26407218	-0.03164529	0.62938318	4.95472490
0.25922277	-0.03116500	0.60417427	4.97454753
0.25488719	-0.03074292	0.63373290	4.99158138
0.25116073	-0.03039118	0.64110888	5.02312567
0.24846907	-0.03016217	0.65276177	5.01412430
0.24422957	-0.02974257	0.63177410	5.04580353
0.24034059	-0.02936251	0.63720653	5.08173615
0.23674222	-0.02901504	0.59633111	5.09062897
0.23307619	-0.02865647	0.61280919	5.10967768
0.22942097	-0.02829638	0.65640137	5.12758772
0.22541659	-0.02789025	0.63935073	5.15404083
0.22343160	-0.02773165	0.64101861	5.18255684
0.21976628	-0.02736231	0.65616666	5.18332216
0.21621247	-0.02700404	0.68343603	5.21113656
0.21459737	-0.02688591	0.67403442	5.25344167
0.21008280	-0.02640213	0.66853471	5.23556825
0.20692477	-0.02608586	0.67325040	5.23759485
0.20408073	-0.02580684	0.68839377	5.28130978
0.20105731	-0.02550285	0.67928279	5.26222444
0.19821126	-0.02521909	0.68869581	5.29119862
0.19588309	-0.02499921	0.66541575	5.30426374
0.19212928	-0.02459502	0.65058739	5.32659284
0.18931282	-0.02430827	0.67262881	5.36197593
0.18691579	-0.02407335	0.65289899	5.38039738
0.18547418	-0.02396000	0.68629427	5.39861581
0.18307874	-0.02372193	0.66768251	5.46720720
0.17961036	-0.02334257	0.69606550	5.43959328
0.17727361	-0.02310801	0.70138452	5.44818878
0.17460126	-0.02282777	0.71266032	5.45849709
0.17154269	-0.02249479	0.69358295	5.45999416
0.17040085	-0.02241154	0.71970671	5.50064360
0.16786748	-0.02214384	0.69383341	5.53062494
0.16488302	-0.02181448	0.70980375	5.51125040
