Gx,Gy,Gz,RF
3.564092,0,0,-0.605177
3.564092,0,0,-0.605177
3.564092,0,0,-0.605177
3.564092,0,0,-0.605177
3.564092,0,0,-0.433601
3.564092,0,0,-0.433601
3.564092,0,0,-0.433601
3.564092,0,0,-0.433601
3.564092,0,0,-0.23023
3.564092,0,0,-0.23023
3.564092,0,0,-0.23023
3.564092,0,0,-0.23023
3.564092,0,0,-0.006578
3.564092,0,0,-0.006578
3.564092,0,0,-0.006578
3.564092,0,0,-0.006578
3.564092,0,0,0.228038
3.564092,0,0,0.228038
3.564092,0,0,0.228038
3.564092,0,0,0.228038
3.564092,0,0,0.458816
3.564092,0,0,0.458816
3.564092,0,0,0.458816
3.564092,0,0,0.458816
3.564092,0,0,0.458816
3.564092,0,0,0.676439
3.564092,0,0,0.676439
3.564092,0,0,0.676439
3.564092,0,0,0.676439
3.564092,0,0,0.865008
3.564092,0,0,0.865008
3.564092,0,0,0.865008
3.564092,0,0,0.865008
3.564092,0,0,1.016851
3.564092,0,0,1.016851
3.564092,0,0,1.016851
3.564092,0,0,1.016851
3.564092,0,0,1.119358
3.564092,0,0,1.119358
3.564092,0,0,1.119358
3.564092,0,0,1.119358
3.564092,0,0,1.168145
3.564092,0,0,1.168145
3.564092,0,0,1.168145
3.564092,0,0,1.168145
3.564092,0,0,1.168145
3.564092,0,0,1.154441
3.564092,0,0,1.154441
3.564092,0,0,1.154441
3.564092,0,0,1.154441
3.564092,0,0,1.081535
3.564092,0,0,1.081535
3.564092,0,0,1.081535
3.564092,0,0,1.081535
3.564092,0,0,0.946137
3.564092,0,0,0.946137
3.564092,0,0,0.946137
3.564092,0,0,0.946137
3.564092,0,0,0.757568
3.564092,0,0,0.757568
3.564092,0,0,0.757568
3.564092,0,0,0.757568
3.564092,0,0,0.520759
3.564092,0,0,0.520759
3.564092,0,0,0.520759
3.564092,0,0,0.520759
3.564092,0,0,0.248868
3.564092,0,0,0.248868
3.564092,0,0,0.248868
3.564092,0,0,0.248868
3.564092,0,0,0.248868
3.564092,0,0,-0.046594
3.564092,0,0,-0.046594
3.564092,0,0,-0.046594
3.564092,0,0,-0.046594
3.564092,0,0,-0.348635
3.564092,0,0,-0.348635
3.564092,0,0,-0.348635
3.564092,0,0,-0.348635
3.564092,0,0,-0.644097
3.564092,0,0,-0.644097
3.564092,0,0,-0.644097
3.564092,0,0,-0.644097
3.564092,0,0,-0.913247
3.564092,0,0,-0.913247
3.564092,0,0,-0.913247
3.564092,0,0,-0.913247
3.564092,0,0,-1.144574
3.564092,0,0,-1.144574
3.564092,0,0,-1.144574
3.564092,0,0,-1.144574
3.564092,0,0,-1.144574
3.564092,0,0,-1.320536
